infra_tipo,infra_fluxo,vias,inicio,final,bairro,extensao_metros,area_planejamento,score_c,score_d,peso_v,peso_h,safety_score_final_v2,risco_infraestrutura,score_risco,categoria_seguranca,cor
Faixa compartilhada na calçada,Bidirecional,RODOVIA GOVERNADOR MÁRIO COVAS,Avenida Padre Guilherme Decaminada (Em frente ao Assaí Atacadista),Avenida Padre Guilherme Decaminada (altura da Estrada dos Palmares),SANTA CRUZ,"998,538921217433",5,"77,6","112,6","1,0","1,0","0,8","10,2","200,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA GENERAL ALEXANDRE BARRETO,Estrada Visconde de Sinimbu,Número 179,SANTA CRUZ,"333,073321640808",5,"77,6","112,6","1,0","1,0","0,8","10,2","200,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,PRAÇA GUILHERME DA SILVEIRA,Em torno da Praça Guilherme da Silveira,Em torno da Praça Guilherme da Silveira,BANGU,"554,249451699825",5,"65,6","119,9","1,0","1,0","2,0","9,0","194,5",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DE INHOAÍBA,Número 212,Estrada do Campinho,CAMPO GRANDE,"2042,63300811661",5,"90,0","121,7","1,2","2,0","0,8","10,2","518,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO CORTUME,Estrada dos Palmares,Número 1462,SANTA CRUZ,"1626,39350031477",5,"77,6","112,6","1,0","1,0","0,8","10,2","200,4",Alta segurança,verde
Ciclovia,Bidirecional,AVENIDA JOÃO XXIII,Rua do Prado,Número 192,SANTA CRUZ,"711,375118512273",5,"77,6","112,6","1,2","2,0","1,6","9,4","465,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA MEDEIROS E ALBUQUERQUE,Próximo à Praça Ruão,Rua Senador Camará,SANTA CRUZ,"147,230108412462",5,"77,6","112,6","1,2","2,0","0,8","10,2","466,7",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA LADÁRIO,Praça Taquarana,Beco da Ladário,CAMPO GRANDE,"276,412470619717",5,"90,0","121,7","1,0","1,0","2,0","9,0","220,7",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO MATO ALTO,Número 5611,Número 7250,GUARATIBA,"589,887139733922",5,"24,4","107,8","1,5","4,0","2,0","9,0","802,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,PRAIA DO CARDO,Número 710,Número 950,SANTA CRUZ,"669,322998372717",5,"77,6","112,6","1,0","2,0","2,0","9,0","389,4",Alta segurança,verde
Ciclovia,Bidirecional,AVENIDA NELSON MOURA BRAZIL DO AMARAL,Número 106,Número 1286,GUARATIBA,"1652,14449153861",5,"24,4","107,8","1,0","1,0","2,0","9,0","141,2",Alta segurança,verde
Ciclovia,"Unidirecional, no fluxo dos automóveis",RUA FRANCISCO REAL,Número 2050,Número 1720,BANGU,"320,891767682158",5,"65,6","119,9","2,0","2,0","4,4","6,6","748,6",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,ESTRADA DO MAGARÇA,Número 375,Estrada do Monteiro,CAMPO GRANDE,"381,418252672953",5,"90,0","121,7","1,5","4,0","7,6","3,4000000000000004","1273,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA MARECHAL MARCIANO,Número 3375,Rua General Gomes de Castro,BANGU,"1405,21112801481",5,"65,6","119,9","1,2","2,0","2,4","8,6","453,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA SANTO EVALDO,Rua D,Número 300,BANGU,"348,972844414003",5,"65,6","119,9","1,2","2,0","0,8","10,2","455,4",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,RUA H. LAPI,Rua General Gomes de Castro,Rua Santo Evaldo,BANGU,"299,345918033313",5,"65,6","119,9","1,0","1,0","7,6","3,4000000000000004","188,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA GENERAL GOMES DE CASTRO,Rua Marechal Marciano,Rua Sérgio Cosme Pinheiro de Carvalho,BANGU,"71,1622076156874",5,"65,6","119,9","1,2","2,0","0,8","10,2","455,4",Alta segurança,verde
Ciclovia,"Unidirecional, no fluxo dos automóveis",AVENIDA ENGENHEIRO PIRES REBELO,Número 20,Número 1210,BANGU,"1263,53295045573",5,"65,6","119,9","1,0","1,0","3,6","7,4","192,9",Alta segurança,verde
Ciclovia,"Unidirecional, no fluxo dos automóveis",AVENIDA ENGENHEIRO PIRES REBELO,Número 2075,Número 17,BANGU,"1259,82953606856",5,"65,6","119,9","1,0","1,0","3,6","7,4","192,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA ARTUR RIOS,Número 50,Número 1606,CAMPO GRANDE,"1621,44888191794",5,"90,0","121,7","2,0","4,0","0,8","10,2","1703,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA BARÃO DO RIO VERDE,Rua Rio Pardo,Número 1963,CAMPO GRANDE,"754,262344287106",5,"90,0","121,7","1,0","2,0","0,8","10,2","433,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA GRAMADO,Próximo ao Viaduto Prefeito Alim Pedro.,Rua Rio Pardo,CAMPO GRANDE,"1007,99014511271",5,"90,0","121,7","1,5","2,0","0,8","10,2","645,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA ENGENHEIRO TRINDADE,Oposto ao número 99,Número 455,CAMPO GRANDE,"588,736006796393",5,"90,0","121,7","1,5","2,0","0,8","10,2","645,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA DA FEIRA,Número 1220,Shopping Bangu,BANGU,"1387,12438350792",5,"65,6","119,9","2,0","4,0","2,4","8,6","1492,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA DE SANTA CRUZ,Número 11,Número 12.697,CAMPO GRANDE,"914,229414779166",5,"90,0","121,7","2,0","4,0","0,8","10,2","1703,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA DE SANTA CRUZ,Número 6098 (Sentido Campo Grande),Número 11.692,CAMPO GRANDE,"2699,55855717704",5,"90,0","121,7","2,0","4,0","0,8","10,2","1703,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,PRAÇA JARAGUARI,"Estrada do Encanamento, número 40","Caminho de Tutóia, número 85",CAMPO GRANDE,"199,405254658659",5,"90,0","121,7","1,0","1,0","0,8","10,2","221,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA BACAXÁ,Número 335,Estrada do Encanamento,CAMPO GRANDE,"123,984222348275",5,"90,0","121,7","1,2","1,0","2,0","9,0","263,0",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA CESÁRIO DE MELO,Rua Capitão Lafay,Próximo a Estação BRT Santa Eugênia - Estação Paciência,SANTA CRUZ,"887,243597483477",5,"77,6","112,6","1,5","4,0","0,8","10,2","1151,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA VISCONDE DE SINIMBU,Número 420,Rua Itatinga,SANTA CRUZ,"458,74648881659",5,"77,6","112,6","1,2","3,0","0,8","10,2","694,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA SOLDADO HAMILTON DE SILVA E COSTA,"Rua Guarujá, número 5555",Número 04,SANTA CRUZ,"153,740100354032",5,"77,6","112,6","1,0","1,0","2,0","9,0","199,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA PACIÊNCIA,Estrada do Encanamento,Próximo ao Viaduto de Paciência,CAMPO GRANDE,"2488,02236555391",5,"90,0","121,7","1,5","2,0","0,8","10,2","645,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA ZÉLIO VALVERDE,Rua Nelson Pereira dos Santos,"Avenida Padre Guilherme Decaminada, número 05",SANTA CRUZ,"1938,56420605207",5,"77,6","112,6","1,0","2,0","0,8","10,2","390,6",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,RUA FERREIRA BORGES,Número 55,Número 04,CAMPO GRANDE,"244,112267042616",5,"90,0","121,7","1,0","1,0","6,4","4,6","216,3",Alta segurança,verde
Ciclovia,Bidirecional,AVENIDA JOÃO XXIII,Número 192,Número 914,SANTA CRUZ,"4276,17118172413",5,"77,6","112,6","1,2","2,0","1,6","9,4","465,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RODOVIA GOVERNADOR MÁRIO COVAS,Avenida Padre Guilherme Decaminada,Próximo ao Assaí Atacadista,SANTA CRUZ,"494,562105595061",5,"77,6","112,6","1,0","1,0","0,8","10,2","200,4",Alta segurança,verde
Faixa compartilhada na calçada,"Unidirecional, no fluxo dos automóveis",PRAÇA RUÃO,Rua Gabriel Bernardes,Rua Medeiros e Albuquerque,SANTA CRUZ,"74,4996690691956",5,"77,6","112,6","1,0","1,0","4,8","6,2","196,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA GUARUJÁ,Número 93,Número 3355,SANTA CRUZ,"4,59936522250625",5,"77,6","112,6","1,5","2,0","0,8","10,2","580,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA CAMPO GRANDE,Altura do Viaduto de Inhoaíba,Número 1430,CAMPO GRANDE,"3589,74519218568",5,"90,0","121,7","1,5","2,0","0,8","10,2","645,3",Alta segurança,verde
Ciclofaixa,Não identificado,RUA SEVERIANO DAS CHAGAS,Rua Francisco Belisário,Rua Álvaro Alberto,SANTA CRUZ,"157,338657163181",5,"77,6","112,6","1,2","2,0","6,4","4,6","461,1",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA GABRIEL BERNARDES,Número 366,Praça Ruão,SANTA CRUZ,"269,643662286604",5,"77,6","112,6","1,2","2,0","2,0","9,0","465,5",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA FRANCISCO BELISÁRIO,Número 99,Próximo à Estrada de Urucânia,SANTA CRUZ,"348,965647662612",5,"77,6","112,6","1,2","2,0","2,0","9,0","465,5",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA XAVIER MARQUES,Rua Ferreira Borges,Rua Cabiúna,CAMPO GRANDE,"755,098815416512",5,"90,0","121,7","1,0","2,0","0,8","10,2","433,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA CACHAMORRA,Número 1785,Rua Olinda Ellis,CAMPO GRANDE,"1853,8694576895",5,"90,0","121,7","1,2","4,0","0,8","10,2","1026,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA CACHAMORRA,Número 492,Número 1785,CAMPO GRANDE,"2174,888957334",5,"90,0","121,7","1,2","4,0","0,8","10,2","1026,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA CACHAMORRA,Número 12 (Sentido Guaratiba),Praça Antônio Goulart,GUARATIBA,"1849,28151772597",5,"24,4","107,8","1,2","4,0","0,8","10,2","644,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO MATO ALTO,Número 7250,Próximo ao número 7398,GUARATIBA,"244,589170095671",5,"24,4","107,8","1,5","4,0","2,0","9,0","802,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO MATO ALTO,Próximo a Clínica da Família Agenor de Miranda Araújo Neto,Número 168,CAMPO GRANDE,"1713,75977331172",5,"90,0","121,7","1,5","4,0","2,0","9,0","1279,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA DAS AMÉRICAS,Oposto ao número 27705,Número 40038,GUARATIBA,"983,73113019846",5,"24,4","107,8","3,0","5,0","2,0","9,0","1992,0",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA PEDRA,Número 5440,Próximo ao Terminal Pingo D'Água 185,GUARATIBA,"367,240546476666",5,"24,4","107,8","2,0","5,0","2,0","9,0","1331,0",Alta segurança,verde
Ciclofaixa,Bidirecional,RUA CAPITÃO LAFAY,Número 361,Número 21,CAMPO GRANDE,"403,626729124772",5,"90,0","121,7","1,0","1,0","1,6","9,4","221,1",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,RUA PROFESSOR SOUSA MOREIRA,Número 19,Número 61,CAMPO GRANDE,"395,001112494516",5,"90,0","121,7","1,0","1,0","7,6","3,4000000000000004","215,1",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA ÁLVARO ALBERTO,Número 35,Número 388,SANTA CRUZ,"249,088020297006",5,"77,6","112,6","1,5","5,0","0,8","10,2","1436,7",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA MATRIZ,Próximo à Avenida Dom João VI,Número 5.611,GUARATIBA,"182,701068931346",5,"24,4","107,8","1,5","2,0","2,0","9,0","405,6",Alta segurança,verde
Faixa compartilhada na calçada,"Unidirecional, no fluxo dos automóveis",ESTRADA DA MATRIZ,Próximo ao número 106,Próximo à Avenida Dom João VI,GUARATIBA,"197,85529343091",5,"24,4","107,8","1,5","2,0","2,0","9,0","405,6",Alta segurança,verde
Faixa compartilhada na calçada,"Unidirecional, no fluxo dos automóveis",ESTRADA DA MATRIZ,Próximo à Avenida Dom João VI,Próximo ao número 106,GUARATIBA,"151,972107809242",5,"24,4","107,8","1,5","2,0","2,0","9,0","405,6",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA DA MADEIRA,Número 115,Número 700,SANTA CRUZ,"220,338216171847",5,"77,6","112,6","1,0","1,0","3,6","7,4","197,6",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA DA MADEIRA,Número 115,Número 700,SANTA CRUZ,"222,606273382716",5,"77,6","112,6","1,0","1,0","3,6","7,4","197,6",Alta segurança,verde
Ciclofaixa,Bidirecional,PRAIA DO RECÔNCAVO,Número 1320,Número 764,SANTA CRUZ,"529,225472797613",5,"77,6","112,6","1,2","2,0","0,8","10,2","466,7",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,PRAIA DO RECÔNCAVO,Número 764,Rua da Madeira,SANTA CRUZ,"660,653418291217",5,"77,6","112,6","1,2","2,0","0,8","10,2","466,7",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",PRAIA DE SEPETIBA,Estrada de Sepetiba,Rua Doutor Ari Chagas,SANTA CRUZ,"612,015612392238",5,"77,6","112,6","1,2","2,0","3,6","7,4","463,9",Alta segurança,verde
Ciclofaixa,Bidirecional,PRAIA DE SEPETIBA,Número 1284,Número 01,SANTA CRUZ,"1357,3355601609",5,"77,6","112,6","1,2","2,0","3,6","7,4","463,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO MAGARÇA,Oposto ao número 6112,Número 375,GUARATIBA,"6275,94035021498",5,"24,4","107,8","1,5","4,0","7,6","3,4000000000000004","796,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO ENCANAMENTO,Número 40,Número 1362,CAMPO GRANDE,"1377,86355823849",5,"90,0","121,7","1,2","2,0","0,8","10,2","518,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA SANTA EFIGÊNIA,Avenida Cesário de Melo,Estrada Visconde de Sinimbu,SANTA CRUZ,"4061,45931006269",5,"77,6","112,6","1,0","1,0","0,8","10,2","200,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DE URUCÂNIA,Rua Francisco Belisário,Oposto ao número 20,SANTA CRUZ,"5402,24853032764",5,"77,6","112,6","1,5","2,0","2,0","9,0","579,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA LUCINDO PASSOS,Próximo à Rua Lopes de Moura,Próximo à Rua Felipe Cardoso,SANTA CRUZ,"269,139295542178",5,"77,6","112,6","1,5","2,0","0,8","10,2","580,8",Alta segurança,verde
Ciclovia,Bidirecional,RUA SENADOR CAMARÁ,Próximo à Rua do Império,Próximo à Rua Capitão Ricardo Kirk,SANTA CRUZ,"495,94532650625",5,"77,6","112,6","2,0","5,0","0,8","10,2","1912,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO GUARANI,Estrada da Lama Preta,Avenida Brasil,SANTA CRUZ,"1709,32768365778",5,"77,6","112,6","1,0","2,0","0,8","10,2","390,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA CESÁRIO DE MELO,Praça Rosária Trotta,Próxima à Rua Xavier Marques,CAMPO GRANDE,"320,558607780277",5,"90,0","121,7","1,5","4,0","0,8","10,2","1280,4",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,RUA FELIPE CARDOSO,Número 06,Rua Lucindo Passos,SANTA CRUZ,"517,16062854287",5,"77,6","112,6","1,2","5,0","8,0","3,0","1144,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA CEL. TAMARINDO,Rua Tamboril,Próximo ao Viaduto de Bangu,BANGU,"3778,26200616308",5,"65,6","119,9","1,2","2,0","0,8","10,2","455,4",Alta segurança,verde
